code,name,market,catagory,type
600079,人福医药,A股,沪深A股,股票
603313,梦百合,A股,沪深A股,股票
688579,山大地纬,A股,沪深A股,股票
300811,铂科新材,A股,沪深A股,股票
600067,冠城大通,A股,沪深A股,股票
002081,金螳螂,A股,沪深A股,股票
301038,深水规院,A股,沪深A股,股票
300892,品渥食品,A股,沪深A股,股票
603778,乾景园林,A股,沪深A股,股票
600106,重庆路桥,A股,沪深A股,股票
605089,味知香,A股,沪深A股,股票
001308,康冠科技,A股,沪深A股,股票
603230,内蒙新华,A股,沪深A股,股票
000333,美的集团,A股,沪深A股,股票
600638,新黄浦,A股,沪深A股,股票
600781,*ST辅仁,A股,沪深A股,股票
300261,雅本化学,A股,沪深A股,股票
000680,山推股份,A股,沪深A股,股票
601579,会稽山,A股,沪深A股,股票
301011,华立科技,A股,沪深A股,股票
002352,顺丰控股,A股,沪深A股,股票
300289,利德曼,A股,沪深A股,股票
300439,美康生物,A股,沪深A股,股票
300500,启迪设计,A股,沪深A股,股票
600309,万华化学,A股,沪深A股,股票
688366,昊海生科,A股,沪深A股,股票
000566,海南海药,A股,沪深A股,股票
002437,誉衡药业,A股,沪深A股,股票
000838,财信发展,A股,沪深A股,股票
300546,雄帝科技,A股,沪深A股,股票
600690,海尔智家,A股,沪深A股,股票
002016,世荣兆业,A股,沪深A股,股票
002379,宏创控股,A股,沪深A股,股票
002481,双塔食品,A股,沪深A股,股票
002372,伟星新材,A股,沪深A股,股票
000631,顺发恒业,A股,沪深A股,股票
002375,亚厦股份,A股,沪深A股,股票
600004,白云机场,A股,沪深A股,股票
688166,博瑞医药,A股,沪深A股,股票
603716,塞力医疗,A股,沪深A股,股票
603408,建霖家居,A股,沪深A股,股票
300306,远方信息,A股,沪深A股,股票
300437,清水源,A股,沪深A股,股票
603987,康德莱,A股,沪深A股,股票
601966,玲珑轮胎,A股,沪深A股,股票
300015,爱尔眼科,A股,沪深A股,股票
603268,松发股份,A股,沪深A股,股票
600958,东方证券,A股,沪深A股,股票
600446,金证股份,A股,沪深A股,股票
688739,成大生物,A股,沪深A股,股票
601198,东兴证券,A股,沪深A股,股票
003001,中岩大地,A股,沪深A股,股票
300896,爱美客,A股,沪深A股,股票
002325,洪涛股份,A股,沪深A股,股票
002330,得利斯,A股,沪深A股,股票
000012,南玻Ａ,A股,沪深A股,股票
002423,中粮资本,A股,沪深A股,股票
002950,奥美医疗,A股,沪深A股,股票
600882,妙可蓝多,A股,沪深A股,股票
600503,华丽家族,A股,沪深A股,股票
000722,湖南发展,A股,沪深A股,股票
301321,翰博高新,A股,沪深A股,股票
002251,步步高,A股,沪深A股,股票
002435,长江健康,A股,沪深A股,股票
000790,华神科技,A股,沪深A股,股票
300951,博硕科技,A股,沪深A股,股票
300675,建科院,A股,沪深A股,股票
000567,海德股份,A股,沪深A股,股票
600773,西藏城投,A股,沪深A股,股票
601100,恒立液压,A股,沪深A股,股票
300749,顶固集创,A股,沪深A股,股票
300729,乐歌股份,A股,沪深A股,股票
002774,快意电梯,A股,沪深A股,股票
603008,喜临门,A股,沪深A股,股票
601456,国联证券,A股,沪深A股,股票
000861,海印股份,A股,沪深A股,股票
002006,精功科技,A股,沪深A股,股票
300133,华策影视,A股,沪深A股,股票
603029,天鹅股份,A股,沪深A股,股票
